MORFOESPECIE,Individuo,NUM. DE FLOR,TIEMPO EN CADA FLOR 
Mariposa Naranja,1,1,9.3
Mariposa Naranja,1,2,3.57
Mariposa Naranja,1,3,16.81
Mariposa Naranja,1,4,7.91
Polilla negra,2,1,7.04
Polilla negra,3,1,5.72
Polilla negra,3,2,6.52
Mosca negro oscuro,4,1,4.39
Mariposa Naranja,5,1,12.1
Mariposa Naranja,5,2,4.36
Mariposa Naranja,6,1,12.71
Mariposa Naranja,6,2,6.39
Mariposa Naranja,6,3,9.49
Mariposa Naranja,6,4,1.76
Mariposa Naranja,7,1,7.15
Mariposa Naranja,8,1,4.29
Mariposa Naranja,9,1,11.82
Mariposa Naranja,9,2,6.26
Mariposa Naranja,9,3,13.56
Mariposa Naranja,9,4,21.75
Mariposa Naranja,9,5,9.8
Mariposa Naranja,9,6,3.13
Mariposa Naranja,10,1,3.72
Mariposa Naranja,10,2,11.28
Mariposa Naranja,10,3,5.16
Mariposa Naranja,10,4,14.41
Mariposa Naranja,10,5,11.45
Mariposa Naranja,10,6,7.59
Mariposa Naranja,11,1,15.31
Mariposa Naranja,11,2,16.11
Mariposa Naranja,11,3,9.36
Mariposa Naranja,11,4,1.59
Mariposa Naranja,11,5,3.99
Mariposa Naranja,12,1,10.51
Mariposa Naranja,12,2,13.7
Mariposa Naranja,12,3,10.98
Mariposa Naranja,12,4,5.23
Mariposa Naranja,12,5,5.18
Mariposa Naranja,12,6,2.03
Mariposa Naranja,12,7,13.34
Mariposa Naranja,12,8,2.71
Mariposa Naranja,12,9,9.28
Mariposa Naranja,12,10,3.06
Mariposa Naranja,12,11,4.39
Mariposa Naranja,12,12,5.49
Mariposa Naranja,12,13,3.43
Mariposa Naranja,12,14,5.53
Mariposa Naranja,12,15,11.88
Mariposa Naranja,12,16,11.64
Mariposa Naranja,12,17,5.44
Mariposa Naranja,12,18,3.79
Mariposa Naranja,12,19,7.84
Mariposa Naranja,12,20,5.56
Mariposa Naranja,12,21,5.74
Mariposa Naranja,12,22,11.63
Mariposa Naranja,12,23,8.73
Mariposa Naranja,12,24,10
Mariposa Naranja,12,25,5.53
Mariposa Naranja,12,26,12.75
Mariposa Naranja,12,27,5.64
Mariposa Naranja,12,28,2.56
Mariposa Naranja,12,29,4.34
Mariposa Naranja Palida,13,1,4.6
Mariposa Naranja,14,1,4.31
Mariposa Naranja,15,1,12.55
Mariposa Naranja,15,2,6.59
Mariposa Naranja,16,3,18.82
Mariposa Naranja,16,4,5.81
Mariposa Naranja,16,5,6.58
Mariposa Naranja,17,1,11.23
Mariposa Naranja,17,2,4.61
Mariposa Naranja,17,3,14.41
Mariposa Naranja,17,4,9.61
Mariposa Naranja,17,5,3.49
Apis mellifera,18,1,1.1
Apis mellifera,19,1,2.39
Apis mellifera,20,1,2.8
Mariposa Naranja,21,1,26.72
Mariposa Naranja,21,2,20.56
Mariposa Naranja,21,3,14.02
Mariposa Naranja,21,4,22.34
Mariposa Naranja,22,1,37.81
Mariposa Naranja,22,2,16.66
Mariposa Naranja,22,3,19.73
Mariposa Naranja,22,4,25.92
Mariposa Naranja,22,5,28.06
Mariposa Naranja,22,6,26.04
Mariposa Naranja,22,7,5.49
Mariposa Naranja,22,8,6.82
Mariposa Naranja,22,9,10.6
Mariposa Naranja,22,10,4.41
Mariposa Naranja,22,11,3.39
Mariposa Naranja,22,12,13.58
Mariposa Naranja,22,13,18.93
Mariposa Naranja,22,14,17.11
Mariposa Naranja,22,15,5.23
Mariposa Naranja,22,16,10.58
Mariposa Naranja,22,17,12.33
Apis mellifera,23,1,2.49
Apis mellifera,23,2,3.17
Apis mellifera,23,3,1.21
Apis mellifera,23,4,4.75
Mariposa Naranja,24,1,5.21
Mariposa Naranja,24,2,8.88
Mariposa Naranja,24,3,20.05
Mariposa Naranja,25,1,50.45
Mariposa Naranja,26,1,5.7
Mariposa Naranja,26,2,8.3
Mariposa Naranja,26,3,21.02
Apis mellifera,27,1,6.8
Mariposa Naranja,28,1,6
Mariposa Naranja,28,2,34
Mariposa Naranja,28,3,10
Mariposa Naranja,28,4,6
Mariposa Naranja,28,5,42
Mariposa Naranja,28,6,6
Mariposa Naranja,28,7,10
Mariposa Naranja,28,8,6
Mariposa Naranja,28,9,8
Mariposa Naranja,28,10,12
Mariposa Naranja,28,11,7
Mariposa Blanca Abdomen Negro,29,1,6
Mariposa amarilla bordes oscuros,30,1,20
Mariposa amarilla bordes oscuros,30,2,22
Mosca negro oscuro,31,1,65
Apis mellifera,32,1,2
Apis mellifera,32,2,17
Apis mellifera,32,3,8
Apis mellifera,32,4,10
Mariposa Naranja,33,1,14
Mariposa Naranja,33,2,10
Mariposa Naranja,33,3,15
Mariposa Naranja,33,4,8
Mariposa Naranja,33,5,10
Mariposa Naranja,33,6,24
Mariposa Naranja,33,7,5
Mariposa Naranja,33,8,11
Mariposa Naranja,33,9,8
Mariposa Naranja,33,10,12
Mariposa Naranja,33,11,11
Mariposa Naranja,33,12,7
Mariposa Naranja,33,13,6
Mariposa Naranja,33,14,11
Mariposa Naranja,33,15,10
Mariposa Naranja,33,16,4
Mariposa Naranja,33,17,3
Polilla negra,34,1,14
Polilla negra,34,2,2
Polilla negra,34,3,4
Mosca negro oscuro,35,1,2
Apis mellifera,36,1,14
Mariposa amarilla bordes oscuros,37,1,6
Mariposa amarilla bordes oscuros,37,2,9
Mariposa amarilla bordes oscuros,37,3,11
Mariposa amarilla bordes oscuros,37,4,15
Mariposa amarilla bordes oscuros,37,5,5
Mariposa amarilla bordes oscuros,37,6,5
Mariposa Naranja,38,1,3
Mariposa Naranja,38,2,2
Mariposa Naranja,38,3,8
Mariposa Naranja,38,4,2
Mariposa Naranja,38,5,12
Mariposa Naranja,38,6,6
Mariposa Naranja,38,7,17
Mariposa Naranja,38,8,6
Polilla cafe,39,1,4
Polilla cafe,39,2,7
Polilla cafe,39,3,3
Polilla cafe,39,4,6
Polilla cafe,39,5,12
Abejorro,40,1,10
Abejorro,40,2,5
Polilla negra,41,1,10
Polilla negra,41,2,31
Polilla negra,41,3,18
Polilla negra,41,4,21
Polilla negra,41,5,6
Polilla negra,41,6,15
Polilla negra,41,7,10
Apis mellifera,42,1,9
Apis mellifera,42,2,3
Apis mellifera,42,3,20
Apis mellifera,42,4,6
Mosca negro oscuro,43,1,2
Mosca negro oscuro,43,2,10
Mosca negro oscuro,43,3,6
Mosca negro oscuro,43,4,9
Apis mellifera,44,1,6
Mariposa cafe abdomen negro,45,1,3
Mariposa amarilla bordes oscuros,46,1,2
Mariposa Naranja,47,1,3
Mariposa Naranja,47,2,2
Mariposa Naranja,47,3,1
Mariposa Naranja,47,4,5
Mariposa Naranja,48,1,12
Mariposa Naranja,48,2,6
Mariposa Naranja,48,3,17
Mariposa Naranja,48,4,6
Mariposa Naranja,48,5,6
Mariposa Naranja,48,6,11
Avispa naranja,50,1,5
Mariposa Blanca Abdomen Negro,51,1,5
Mariposa Blanca Abdomen Negro,51,2,3
